,columella/root cap (+QC) (cl4),cortex/endodermis (cl2),cotyledon mesophyll (cl13),cotyledon mesophyll (cl3),epidermis (cl6),hypocotyl cortex (early) (cl5),hypocotyl cortex (late) (cl1),hypocotyl cortex (mid) (cl7),provasculature (cl12),provasculature: protophloem (cl15),provasculature: protoxylem (cl9),radicle apical meristem (cl14),radicle epidermis (cl10),unassigned (cl11),unassigned (cl8)
dev: Embryo_3DAP,1.3347336663097238,0.1614294502555809,-0.41824684136080786,0.0709076767877112,1.325596073725309,1.4642708844804706,0.07299494114834809,-0.5104413837636156,0.5799153665342518,-0.38280557368777973,-0.18593287555827948,0.8884350477149541,0.6687274348277483,-0.05349428384523488,-0.6094250592992785
dev: Embryo_5DAP,1.3892296335880772,-0.12777207003273505,1.5373977486878492,1.434259932729796,1.148219394092553,1.3593379080063501,1.5329137722456645,1.5968492972680808,-0.8776382099927963,-0.3872739347545589,0.008949015345949683,1.324892229659508,0.6638702836956116,-0.34644303209109356,-0.11391699124872545
dev: Embryo_7DAP,-0.5664579962062817,0.1440448042735459,0.9921033076734675,1.3379505485964598,1.0258608371973579,-0.6407645133165843,1.295433110625911,0.8383198603358657,-0.18020929254205803,-0.7372683118939416,0.3505299494802683,0.1584230873158704,0.10200691647698408,1.52180954434909,1.9084918780036324
dev: Endosperm_3DAP,0.9682373948729646,-1.51323079257312,1.4765536858580215,1.1707054450606498,-1.3343189793117056,0.9870126408503158,1.2735228829881569,1.643309429239682,-1.8062972568318352,-0.8348676249550833,-1.4491178378431697,-1.1146845736728483,-0.7956140033180346,-1.7200736906498528,-0.7973910972753216
dev: Endosperm_5DAP,0.35731792064875934,-1.4386621513931401,0.23470660048704972,0.13125416095328468,-1.6943100079339493,0.42023002360431533,0.16002317018779555,0.2311813390318032,-1.541713343005067,-1.25110286886351,-1.8331162599978654,-1.2403990233140125,-1.6822043336856933,-1.1631048258475971,-0.5244151062348706
dev: Endosperm_7DAP,-1.7406297510305941,-0.8504019926246515,0.2989251406942379,-0.18102812388810383,-0.8409347488946551,-1.6550384482822769,-0.15046186435959646,0.17941287800580982,-0.20991731933816232,-0.29590874590673544,0.44332811344062123,-0.998817645056509,-1.5965220211872846,1.1067776776719418,1.708221908802467
dev: Funiculus_3DAP,0.3130154095686977,1.9685392095016363,0.5964839730678425,0.8647204713352776,0.8686482688877216,0.19839740598521408,0.5718516767728876,0.3939309938713328,1.536153527752581,2.404130578626071,2.058285837846254,1.565072205169392,1.3658445541708335,-0.22968774887708693,-0.7586789427655258
dev: Funiculus_5DAP,-0.28614516250957706,0.6530545676641304,-0.42741399720610235,-0.4862970428160049,0.12241708732485589,-0.1268254026871457,-0.3720391726542119,-0.11556866650984225,0.9944855335963002,1.3416716226911976,0.7061258525568489,-0.36265148492633636,1.0343716742030133,1.157045252494091,0.01007972172437482
dev: Ovule_3DAP,-0.5389435972339891,0.03877365470552904,-1.081027909335387,-1.1341741328895798,-0.040518060437337626,-0.6405238858293976,-1.1664780859901298,-1.0744213637476645,0.5432240499134053,-0.26060922992461094,0.2996235067224078,-0.7036528820627544,0.5411757436705772,0.07811431961865122,-0.1979918101418669
dev: Seed coat_3DAP,0.4069935684075994,1.1416964706340595,-1.1360797576031634,-0.9576348587041572,0.35978337676435285,0.32995214915839194,-0.9974397092243332,-1.0919991641087852,0.6747619319832057,-0.017455197594879384,-0.13767861273625343,0.8169623898070062,0.4153878817858081,-0.6031395239558169,-0.9257811737089332
dev: Seed coat_5DAP,-0.14924303435352684,0.2516443881480843,-1.088093178156837,-1.0669256480591294,-0.1779086662098399,-0.2586533637323569,-1.0370275992055604,-1.0427691131656753,0.0077835793357742215,0.019544673430983543,-0.52275877892108,0.4860265790737259,0.10625115872446221,-0.6586302473239223,-0.7515965829847563
dev: Seed coat_7DAP,-1.4881080520618568,-0.4291155385589209,-0.9853087728061665,-1.1837384291062023,-0.7625345752046649,-1.4373953982372911,-1.1832931225349235,-1.0478041064569923,0.27945143259439426,0.4019446128328471,0.2617620896642977,-0.8196059297080043,-0.8232952893640264,0.910826558456831,1.0524032551288038
stress: ug_root_dark,1.3598602112207185,1.5876214656604795,1.087523153351914,-1.1721748019861689,0.8597979501226062,0.926630092043952,-1.1249586059176684,0.7661629077038015,0.5258180892631535,-0.7510796475486353,-1.1583771274182353,1.5393824081866123,0.9929469388775498,0.35156603337950426,0.6729563548464973
stress: ug_root_light,-0.5054511747931046,-0.7153909930350772,-0.9126783621970801,-1.1454452895115876,-1.2144928827275039,0.7108261081229945,-0.7254172710628631,1.0442617694655736,-1.277102359140111,-1.2655349108110763,-0.9687855941665225,0.795348358127849,-1.1281610193319813,0.39196130630248555,0.7616138559743502
stress: ug_leaf_dark,0.21185664173877158,-0.7880920997159351,1.9858814121392228,1.2010446110820525,-1.1443914514560758,0.6902957640614625,0.9954859956768157,1.555192506805311,-1.203526380327501,0.7607355756933473,-1.0666594558816427,-0.9860316636135469,-0.8011607311250453,-2.2278243614741453,-1.2303076557008223
